# LING-1 L-P2/Wave-2 — distinctive-feature matrix (curated, PHOIBLE-aligned).
# Whitespace-delimited, positional. First token = IPA symbol; then 16 feature
# values in this order (see conlang::features::FEATURE_NAMES):
#
#   syllabic consonantal sonorant continuant voice nasal lateral
#   labial coronal dorsal anterior strident high low back round
#
# Values: + (present), - (absent), 0 (unspecified / not applicable).
#
# ipa  syl con son con voi nas lat lab cor dor ant str hi  lo  bk  rnd
# ── stops ──────────────────────────────────────────────────────────────
ɥ      -   -   +   +   +   -   -   +   +   +   -   -   +   -   -   +
# ── vowels ─────────────────────────────────────────────────────────────
i      +   -   +   +   +   -   -   -   -   -   0   0   +   -   -   -
y      +   -   +   +   +   -   -   -   -   -   0   0   +   -   -   +
ɨ      +   -   +   +   +   -   -   -   -   -   0   0   +   -   0   -
ʉ      +   -   +   +   +   -   -   -   -   -   0   0   +   -   0   +
ɯ      +   -   +   +   +   -   -   -   -   -   0   0   +   -   +   -
u      +   -   +   +   +   -   -   -   -   -   0   0   +   -   +   +
ɪ      +   -   +   +   +   -   -   -   -   -   0   0   +   -   -   -
ʏ      +   -   +   +   +   -   -   -   -   -   0   0   +   -   -   +
ʊ      +   -   +   +   +   -   -   -   -   -   0   0   +   -   +   +
e      +   -   +   +   +   -   -   -   -   -   0   0   -   -   -   -
ø      +   -   +   +   +   -   -   -   -   -   0   0   -   -   -   +
ɘ      +   -   +   +   +   -   -   -   -   -   0   0   -   -   0   -
ɵ      +   -   +   +   +   -   -   -   -   -   0   0   -   -   0   +
ɤ      +   -   +   +   +   -   -   -   -   -   0   0   -   -   +   -
o      +   -   +   +   +   -   -   -   -   -   0   0   -   -   +   +
ə      +   -   +   +   +   -   -   -   -   -   0   0   -   -   0   -
ɛ      +   -   +   +   +   -   -   -   -   -   0   0   -   -   -   -
œ      +   -   +   +   +   -   -   -   -   -   0   0   -   -   -   +
ɜ      +   -   +   +   +   -   -   -   -   -   0   0   -   -   0   -
ʌ      +   -   +   +   +   -   -   -   -   -   0   0   -   -   +   -
ɔ      +   -   +   +   +   -   -   -   -   -   0   0   -   -   +   +
æ      +   -   +   +   +   -   -   -   -   -   0   0   -   +   -   -
ɐ      +   -   +   +   +   -   -   -   -   -   0   0   -   +   0   -
a      +   -   +   +   +   -   -   -   -   -   0   0   -   +   -   -
ɑ      +   -   +   +   +   -   -   -   -   -   0   0   -   +   +   -
ɒ      +   -   +   +   +   -   -   -   -   -   0   0   -   +   +   +
